suburb,rent
89,410
41,2000
89,165
89,359
89,480
89,320
89,850
123,230
82,175
138,750
141,175
89,850
149,550
89,950
82,390
87,630
126,220
125,310
338,195
89,340
125,370
89,325
87,395
89,550
89,550
89,650
89,560
138,700
41,750
89,510
120,460
89,550
89,320
89,200
83,430
135,195
89,615
89,185
89,495
89,380
89,330
89,1120
89,1680
17,1500
89,480
125,850
89,390
135,350
89,550
89,420
126,220
315,170
138,500
315,799
89,360
89,185
89,600
89,200
89,530
89,730
393,580
89,340
123,700
89,550
89,450
89,400
138,475
89,595
89,350
89,335
89,510
87,550
89,370
62,295
17,1100
40,895
132,495
149,480
62,195
136,420
149,540
91,695
84,695
91,430
91,695
337,460
315,360
120,520
89,1200
41,600
84,495
40,1000
125,330
89,340
40,320
89,1650
41,525
120,425
125,695
89,560
149,450
120,495
315,890
16,850
131,550
120,400
41,750
42,700
3258,300
85,420
89,330
89,395
42,700
90,940
89,390
89,350
315,625
17,325
322,2500
87,400
337,480
120,395
132,460
393,280
84,325
129,420
89,800
89,320
40,580
149,280
84,1250
338,330
122,680
89,330
338,190
149,600
149,390
393,410
83,820
83,400
142,470
90,400
89,800
120,500
393,530
41,600
17,620
129,400
85,460
322,2000
129,480
90,325
90,450
123,850
393,625
89,300
41,480
89,365
41,430
90,690
90,360
41,320
87,480
141,595
89,400
89,1000
82,799
99,890
120,625
120,390
82,450
99,595
17,685
87,900
338,250
99,565
16,875
128,250
89,850
89,525
90,625
89,580
136,595
41,650
125,990
41,850
41,450
393,595
17,1200
89,350
89,1200
129,450
393,550
315,450
89,320
315,550
89,655
123,900
40,1100
90,795
3258,520
89,1550
17,900
135,455
135,450
42,600
89,350
131,320
141,500
141,395
89,325
89,460
89,410
315,395
85,380
40,460
89,1100
89,680
315,400
41,600
132,495
90,480
89,570
90,450
83,795
121,565
87,780
84,650
61,330
3258,500
40,415
89,425
89,310
83,550
41,595
125,860
89,1200
315,360
17,840
109,590
138,550
125,750
315,650
142,600
141,580
288,490
41,490
122,700
99,630
90,750
125,470
129,750
123,650
125,1000
122,1000
141,350
141,360
83,1150
40,1500
316,490
129,520
149,440
90,360
89,420
61,675
86,750
