subIDs,subNames
3256,Arch Hill
149,Avondale
124,Balmoral
130,Blockhouse Bay
89,City Centre
3229,Coxs Bay
135,Eden Terrace
393,Ellerslie
125,Epsom
3230,Fairview Heights
88,Freemans Bay
316,Glen Innes
16,Glendowie
136,Grafton
122,Greenlane
87,Grey Lynn
84,Herne Bay
138,Hillsborough
123,Kingsland
17,Kohimarama
102,Lynfield
39,Meadowbank
62,Mission Bay
126,Morningside
129,Mount Albert
90,Mount Eden
120,Mount Roskill
315,Mount Wellington
3167,New Windsor
99,Newmarket
82,Newton
131,One Tree Hill
141,Onehunga
322,Orakei
148,Oranga
338,Otahuhu
147,Owairaka
288,Panmure
41,Parnell
290,Penrose
85,Point Chevalier
337,Point England
83,Ponsonby
40,Remuera
132,Royal Oak
42,Saint Heliers
61,Saint Johns
63,Saint Johns Park
91,Saint Marys Bay
128,Sandringham
3258,St Lukes
3496,Stonefields
394,Tamaki
395,Te Papapa
121,Three Kings
317,Wai O Taiki Bay
146,Waikowhai
142,Waterview
127,Wesley
86,Western Springs
109,Westmere
